### DATA:
#
# 2271
#      Q             I(Q)           Error     
8.90621672E-03  2.06541851E-01  9.36527227E-03
9.12612330E-03  2.18322709E-01  8.44888517E-03
9.34602989E-03  2.03597352E-01  7.48968499E-03
9.56593648E-03  2.17683315E-01  7.38519223E-03
9.78584306E-03  2.04725116E-01  6.76814933E-03
1.00057496E-02  2.12132156E-01  6.48350955E-03
1.02256562E-02  2.13868216E-01  5.87153535E-03
1.04455628E-02  2.09260628E-01  5.77849736E-03
1.06654694E-02  2.02235714E-01  5.29014499E-03
1.08853760E-02  2.02779114E-01  5.25266603E-03
1.11052826E-02  2.04428941E-01  5.06175334E-03
1.13251892E-02  1.88440681E-01  4.61887485E-03
1.15450957E-02  1.94379538E-01  4.85595353E-03
1.17650023E-02  1.95812643E-01  4.45644445E-03
1.19849089E-02  1.90098032E-01  4.44324612E-03
1.22048155E-02  1.88996136E-01  4.33402841E-03
1.24247221E-02  1.85534880E-01  4.01902715E-03
1.26446287E-02  1.81935266E-01  4.16983836E-03
1.28645353E-02  1.82875708E-01  3.89942863E-03
1.30844418E-02  1.86942488E-01  3.78275646E-03
1.33043484E-02  1.80509299E-01  3.92522459E-03
1.35242550E-02  1.80069357E-01  3.60022193E-03
1.37441616E-02  1.78694591E-01  3.73813218E-03
1.39640682E-02  1.80001467E-01  3.50818214E-03
1.41839748E-02  1.76034570E-01  3.54951459E-03
1.44038814E-02  1.80456251E-01  3.60076764E-03
1.46237879E-02  1.73891798E-01  3.31185241E-03
1.48436945E-02  1.70751661E-01  3.38868012E-03
1.50636011E-02  1.73219800E-01  3.16529007E-03
1.52835077E-02  1.63195640E-01  3.18834523E-03
1.55034143E-02  1.72974244E-01  3.23373046E-03
1.57233209E-02  1.68861195E-01  3.13611443E-03
1.59432275E-02  1.64384067E-01  3.05874966E-03
1.61631340E-02  1.64465234E-01  2.88551061E-03
1.63830406E-02  1.61988437E-01  3.05647376E-03
1.66029472E-02  1.61095470E-01  2.85874834E-03
1.68228538E-02  1.60706714E-01  2.85124164E-03
1.70427604E-02  1.59838080E-01  2.89539736E-03
1.72626670E-02  1.52708828E-01  2.67118730E-03
1.74825736E-02  1.57279640E-01  2.77769896E-03
1.77024801E-02  1.50831982E-01  2.65742897E-03
1.79223867E-02  1.53799504E-01  2.59368658E-03
1.81422933E-02  1.49097770E-01  2.70203373E-03
1.83621999E-02  1.50935531E-01  2.56926786E-03
1.85821065E-02  1.45879745E-01  2.57774502E-03
1.88020131E-02  1.48609921E-01  2.47119272E-03
1.90219197E-02  1.46701649E-01  2.48565328E-03
1.92418262E-02  1.48281246E-01  2.51769186E-03
1.94617328E-02  1.41564533E-01  2.40509247E-03
1.96816394E-02  1.37650192E-01  2.37356950E-03
1.99015460E-02  1.42780364E-01  2.28703521E-03
2.01214526E-02  1.40186653E-01  2.40868133E-03
2.03413592E-02  1.39190257E-01  2.33670518E-03
2.05612658E-02  1.36977330E-01  2.32583776E-03
2.07811723E-02  1.30420297E-01  2.26171531E-03
2.10010789E-02  1.35939449E-01  2.24308559E-03
2.12209855E-02  1.29702330E-01  2.30562613E-03
2.14408921E-02  1.29751727E-01  2.23721321E-03
2.16607987E-02  1.31172270E-01  2.25529985E-03
2.18807053E-02  1.30117759E-01  2.22594108E-03
2.21006119E-02  1.28160551E-01  2.13995827E-03
2.23205184E-02  1.24209903E-01  2.21371640E-03
2.25404250E-02  1.22275271E-01  2.13674608E-03
2.27603316E-02  1.22486964E-01  2.05707477E-03
